Name           Surname        Final_Grade(Aver. )
Name2          Surname2       4.8            
Name4          Surname4       4.8            
Name7          Surname7       1.46667        
Name8          Surname8       4.73333        
Name11         Surname11      4.46667        
Name12         Surname12      2.13333        
Name13         Surname13      4.73333        
Name16         Surname16      2.86667        
Name19         Surname19      3.53333        
Name20         Surname20      3.46667        
Name25         Surname25      3.86667        
Name26         Surname26      2.4            
Name28         Surname28      3.4            
Name34         Surname34      4.13333        
Name38         Surname38      2.06667        
Name40         Surname40      3              
Name41         Surname41      2.73333        
Name42         Surname42      1.73333        
Name44         Surname44      2              
Name45         Surname45      3.13333        
Name50         Surname50      3.53333        
Name51         Surname51      4.33333        
Name53         Surname53      3.46667        
Name54         Surname54      2.13333        
Name56         Surname56      4.73333        
Name58         Surname58      3.4            
Name59         Surname59      2.33333        
Name61         Surname61      3.4            
Name62         Surname62      3.33333        
Name64         Surname64      2.93333        
Name73         Surname73      4              
Name74         Surname74      1.46667        
Name75         Surname75      2.86667        
Name79         Surname79      1.93333        
Name85         Surname85      4.2            
Name86         Surname86      4.93333        
Name87         Surname87      2.66667        
Name89         Surname89      4              
Name93         Surname93      3.6            
Name95         Surname95      4.66667        
Name97         Surname97      3.73333        
Name102        Surname102     2.8            
Name106        Surname106     4.26667        
Name107        Surname107     2.6            
Name112        Surname112     4.2            
Name121        Surname121     1.8            
Name124        Surname124     2.53333        
Name127        Surname127     1.73333        
Name131        Surname131     3.33333        
Name132        Surname132     1.4            
Name136        Surname136     1.6            
Name139        Surname139     3.93333        
Name141        Surname141     3.73333        
Name144        Surname144     4.4            
Name147        Surname147     2.93333        
Name149        Surname149     2.8            
Name151        Surname151     2.13333        
Name152        Surname152     1.73333        
Name153        Surname153     2.8            
Name154        Surname154     1.73333        
Name155        Surname155     1.53333        
Name157        Surname157     3.66667        
Name160        Surname160     2              
Name162        Surname162     2.06667        
Name164        Surname164     3.13333        
Name165        Surname165     3.86667        
Name169        Surname169     3.66667        
Name170        Surname170     4.06667        
Name173        Surname173     1.73333        
Name175        Surname175     3.13333        
Name176        Surname176     2.2            
Name177        Surname177     4.6            
Name178        Surname178     1.33333        
Name183        Surname183     1.13333        
Name186        Surname186     1.66667        
Name187        Surname187     3.66667        
Name188        Surname188     3.46667        
Name192        Surname192     4.6            
Name196        Surname196     4.66667        
Name197        Surname197     4.53333        
Name198        Surname198     3.73333        
Name202        Surname202     3.26667        
Name204        Surname204     4.46667        
Name205        Surname205     3.2            
Name207        Surname207     2              
Name209        Surname209     4.26667        
Name210        Surname210     2.46667        
Name211        Surname211     2.86667        
