Name           Surname        Final_Grade(Aver. )
Name43         Surname43      4.93           
Name70         Surname70      4.93           
Name75         Surname75      4.87           
Name56         Surname56      4.67           
Name58         Surname58      4.67           
Name26         Surname26      4.67           
Name31         Surname31      4.67           
Name21         Surname21      4.67           
Name97         Surname97      4.67           
Name41         Surname41      4.60           
Name22         Surname22      4.53           
Name33         Surname33      4.47           
Name83         Surname83      4.47           
Name78         Surname78      4.40           
Name77         Surname77      4.33           
Name96         Surname96      4.20           
Name85         Surname85      3.93           
Name13         Surname13      3.87           
Name46         Surname46      3.87           
Name87         Surname87      3.87           
Name30         Surname30      3.87           
Name66         Surname66      3.80           
Name79         Surname79      3.80           
Name95         Surname95      3.80           
Name35         Surname35      3.73           
Name38         Surname38      3.60           
Name1          Surname1       3.60           
Name8          Surname8       3.60           
Name32         Surname32      3.53           
Name62         Surname62      3.53           
Name63         Surname63      3.47           
Name24         Surname24      3.33           
Name12         Surname12      3.33           
Name36         Surname36      3.20           
Name53         Surname53      3.20           
Name39         Surname39      3.00           
Name76         Surname76      3.00           
Name3          Surname3       2.80           
Name16         Surname16      2.80           
Name7          Surname7       2.73           
Name64         Surname64      2.67           
Name23         Surname23      2.60           
Name73         Surname73      2.60           
Name47         Surname47      2.53           
Name6          Surname6       2.47           
Name100        Surname100     2.33           
Name88         Surname88      2.33           
Name72         Surname72      2.27           
Name19         Surname19      2.20           
Name80         Surname80      2.00           
Name55         Surname55      1.93           
Name45         Surname45      1.93           
Name48         Surname48      1.93           
Name54         Surname54      1.60           
Name89         Surname89      1.60           
Name18         Surname18      1.47           
Name74         Surname74      1.33           
