Name           Surname        Final_Grade(Aver. )
Name35390      Surname35390   4.93           
Name70100      Surname70100   4.93           
Name70098      Surname70098   4.93           
Name51877      Surname51877   4.93           
Name95052      Surname95052   4.93           
Name45706      Surname45706   4.93           
Name26538      Surname26538   4.93           
Name4019       Surname4019    4.93           
Name4023       Surname4023    4.93           
Name16260      Surname16260   4.93           
Name87164      Surname87164   4.93           
Name87167      Surname87167   4.93           
Name30177      Surname30177   4.93           
Name13285      Surname13285   4.93           
Name49835      Surname49835   4.93           
Name77317      Surname77317   4.93           
Name92392      Surname92392   4.93           
Name4831       Surname4831    4.93           
Name23357      Surname23357   4.93           
Name80279      Surname80279   4.93           
Name23347      Surname23347   4.93           
Name11261      Surname11261   4.93           
Name65577      Surname65577   4.93           
Name23326      Surname23326   4.93           
Name74322      Surname74322   4.93           
Name81092      Surname81092   4.93           
Name87242      Surname87242   4.93           
Name72227      Surname72227   4.93           
Name37891      Surname37891   4.93           
Name11833      Surname11833   4.93           
Name29795      Surname29795   4.93           
Name87275      Surname87275   4.93           
Name28200      Surname28200   4.93           
Name92443      Surname92443   4.93           
Name28199      Surname28199   4.93           
Name51964      Surname51964   4.93           
Name16428      Surname16428   4.93           
Name54746      Surname54746   4.93           
Name79284      Surname79284   4.93           
Name82140      Surname82140   4.93           
Name50339      Surname50339   4.93           
Name4096       Surname4096    4.93           
Name87335      Surname87335   4.93           
Name70232      Surname70232   4.93           
Name41072      Surname41072   4.93           
Name74355      Surname74355   4.93           
Name30180      Surname30180   4.93           
Name65069      Surname65069   4.93           
Name23235      Surname23235   4.93           
Name50533      Surname50533   4.93           
Name39504      Surname39504   4.93           
Name49930      Surname49930   4.93           
Name74373      Surname74373   4.93           
Name87387      Surname87387   4.93           
Name31277      Surname31277   4.93           
Name56100      Surname56100   4.93           
Name4128       Surname4128    4.93           
Name46166      Surname46166   4.93           
Name72513      Surname72513   4.93           
Name70075      Surname70075   4.93           
Name41078      Surname41078   4.93           
Name16538      Surname16538   4.93           
Name26724      Surname26724   4.93           
Name4165       Surname4165    4.93           
Name32147      Surname32147   4.93           
Name23147      Surname23147   4.93           
Name47292      Surname47292   4.93           
Name92546      Surname92546   4.93           
Name92552      Surname92552   4.93           
Name80264      Surname80264   4.93           
Name79084      Surname79084   4.93           
Name74413      Surname74413   4.93           
Name43307      Surname43307   4.93           
Name67961      Surname67961   4.93           
Name29316      Surname29316   4.93           
Name72245      Surname72245   4.93           
Name56689      Surname56689   4.93           
Name40610      Surname40610   4.93           
Name42807      Surname42807   4.93           
Name66090      Surname66090   4.93           
Name65768      Surname65768   4.93           
Name87518      Surname87518   4.93           
Name33137      Surname33137   4.93           
Name28124      Surname28124   4.93           
Name41537      Surname41537   4.93           
Name28119      Surname28119   4.93           
Name57619      Surname57619   4.93           
Name65042      Surname65042   4.93           
Name11111      Surname11111   4.93           
Name23026      Surname23026   4.93           
Name41104      Surname41104   4.93           
Name42711      Surname42711   4.93           
Name28097      Surname28097   4.93           
Name79685      Surname79685   4.93           
Name69718      Surname69718   4.93           
Name11919      Surname11919   4.93           
Name29115      Surname29115   4.93           
Name93938      Surname93938   4.93           
Name37785      Surname37785   4.93           
Name9683       Surname9683    4.93           
Name54638      Surname54638   4.93           
Name72845      Surname72845   4.93           
Name71170      Surname71170   4.93           
Name57607      Surname57607   4.93           
Name47828      Surname47828   4.93           
Name50493      Surname50493   4.93           
Name31870      Surname31870   4.93           
Name71176      Surname71176   4.93           
Name74520      Surname74520   4.93           
Name77087      Surname77087   4.93           
Name71178      Surname71178   4.93           
Name43371      Surname43371   4.93           
Name36097      Surname36097   4.93           
Name31687      Surname31687   4.93           
Name43516      Surname43516   4.93           
Name5250       Surname5250    4.93           
Name67361      Surname67361   4.93           
Name37761      Surname37761   4.93           
Name11945      Surname11945   4.93           
Name12393      Surname12393   4.93           
Name62473      Surname62473   4.93           
Name74550      Surname74550   4.93           
Name11105      Surname11105   4.93           
Name39823      Surname39823   4.93           
Name10374      Surname10374   4.93           
Name4221       Surname4221    4.93           
Name82205      Surname82205   4.93           
Name77060      Surname77060   4.93           
Name29446      Surname29446   4.93           
Name79241      Surname79241   4.93           
Name94663      Surname94663   4.93           
Name65947      Surname65947   4.93           
Name47833      Surname47833   4.93           
Name4235       Surname4235    4.93           
Name16910      Surname16910   4.93           
Name93567      Surname93567   4.93           
Name32608      Surname32608   4.93           
Name52133      Surname52133   4.93           
Name41137      Surname41137   4.93           
Name13081      Surname13081   4.93           
Name71990      Surname71990   4.93           
Name58478      Surname58478   4.93           
Name52143      Surname52143   4.93           
Name42547      Surname42547   4.93           
Name29925      Surname29925   4.93           
Name23458      Surname23458   4.93           
Name7585       Surname7585    4.93           
Name87847      Surname87847   4.93           
Name58482      Surname58482   4.93           
Name87863      Surname87863   4.93           
Name1602       Surname1602    4.93           
Name28858      Surname28858   4.93           
Name11023      Surname11023   4.93           
Name41018      Surname41018   4.93           
Name99917      Surname99917   4.93           
Name16158      Surname16158   4.93           
Name31658      Surname31658   4.93           
Name87927      Surname87927   4.93           
Name22676      Surname22676   4.93           
Name38969      Surname38969   4.93           
Name22665      Surname22665   4.93           
Name87957      Surname87957   4.93           
Name22664      Surname22664   4.93           
Name74254      Surname74254   4.93           
Name7543       Surname7543    4.93           
Name47249      Surname47249   4.93           
Name16137      Surname16137   4.93           
Name28008      Surname28008   4.93           
Name23552      Surname23552   4.93           
Name83792      Surname83792   4.93           
Name22650      Surname22650   4.93           
Name12394      Surname12394   4.93           
Name60930      Surname60930   4.93           
Name17070      Surname17070   4.93           
Name16083      Surname16083   4.93           
Name43823      Surname43823   4.93           
Name22602      Surname22602   4.93           
Name58520      Surname58520   4.93           
Name63615      Surname63615   4.93           
Name51789      Surname51789   4.93           
Name11993      Surname11993   4.93           
Name54892      Surname54892   4.93           
Name38987      Surname38987   4.93           
Name28861      Surname28861   4.93           
Name99699      Surname99699   4.93           
Name15997      Surname15997   4.93           
Name76949      Surname76949   4.93           
Name17102      Surname17102   4.93           
Name48378      Surname48378   4.93           
Name60902      Surname60902   4.93           
Name74167      Surname74167   4.93           
Name7457       Surname7457    4.93           
Name44346      Surname44346   4.93           
Name83734      Surname83734   4.93           
Name86845      Surname86845   4.93           
Name68737      Surname68737   4.93           
Name47244      Surname47244   4.93           
Name83727      Surname83727   4.93           
Name23791      Surname23791   4.93           
Name99520      Surname99520   4.93           
Name22524      Surname22524   4.93           
Name4610       Surname4610    4.93           
Name58547      Surname58547   4.93           
Name32367      Surname32367   4.93           
Name15899      Surname15899   4.93           
Name99496      Surname99496   4.93           
Name54498      Surname54498   4.93           
