Name           Surname        Final_Grade(Aver. )
Name1          Surname1       5.53333        
Name3          Surname3       6.6            
Name5          Surname5       8.2            
Name6          Surname6       8.86667        
Name9          Surname9       5.53333        
Name10         Surname10      8.53333        
Name14         Surname14      6.53333        
Name15         Surname15      5.66667        
Name17         Surname17      7.66667        
Name18         Surname18      7              
Name21         Surname21      7.26667        
Name22         Surname22      6.6            
Name23         Surname23      8.26667        
Name24         Surname24      5.13333        
Name27         Surname27      7.4            
Name29         Surname29      5.2            
Name30         Surname30      6.46667        
Name31         Surname31      7.26667        
Name32         Surname32      5.4            
Name33         Surname33      7.93333        
Name35         Surname35      6.53333        
Name36         Surname36      5.26667        
Name37         Surname37      6.86667        
Name39         Surname39      7.06667        
Name43         Surname43      5.13333        
Name46         Surname46      6.33333        
Name47         Surname47      5.86667        
Name48         Surname48      6.93333        
Name49         Surname49      6.13333        
Name52         Surname52      5.66667        
Name55         Surname55      7.8            
Name57         Surname57      5.33333        
Name60         Surname60      8.6            
Name63         Surname63      9.06667        
Name65         Surname65      5.13333        
Name66         Surname66      7              
Name67         Surname67      5.86667        
Name68         Surname68      8.2            
Name69         Surname69      6.26667        
Name70         Surname70      5.4            
Name71         Surname71      7.13333        
Name72         Surname72      5.33333        
Name76         Surname76      5.06667        
Name77         Surname77      7.73333        
Name78         Surname78      6.26667        
Name80         Surname80      6.8            
Name81         Surname81      6.33333        
Name82         Surname82      7.06667        
Name83         Surname83      7.66667        
Name84         Surname84      6.66667        
Name88         Surname88      7.26667        
Name90         Surname90      5.8            
Name91         Surname91      8.13333        
Name92         Surname92      8.26667        
Name94         Surname94      7.53333        
Name96         Surname96      7.66667        
Name98         Surname98      5.73333        
Name99         Surname99      5.66667        
Name100        Surname100     6.4            
Name101        Surname101     6.33333        
Name103        Surname103     7.6            
Name104        Surname104     6.33333        
Name105        Surname105     6.86667        
Name108        Surname108     5.6            
Name109        Surname109     8              
Name110        Surname110     7              
Name111        Surname111     5.13333        
Name113        Surname113     5.46667        
Name114        Surname114     8.2            
Name115        Surname115     7.4            
Name116        Surname116     7.93333        
Name117        Surname117     7.26667        
Name118        Surname118     5.4            
Name119        Surname119     8.2            
Name120        Surname120     5.53333        
Name122        Surname122     7.6            
Name123        Surname123     5.66667        
Name125        Surname125     7.2            
Name126        Surname126     5.4            
Name128        Surname128     7.53333        
Name129        Surname129     6.66667        
Name130        Surname130     7.06667        
Name133        Surname133     6.86667        
Name134        Surname134     5.86667        
Name135        Surname135     5.4            
Name137        Surname137     6.6            
Name138        Surname138     7.8            
Name140        Surname140     5.4            
Name142        Surname142     5.4            
Name143        Surname143     5.86667        
Name145        Surname145     8.13333        
Name146        Surname146     6              
Name148        Surname148     5.46667        
Name150        Surname150     5.13333        
Name156        Surname156     6.93333        
Name158        Surname158     5.73333        
Name159        Surname159     6.53333        
Name161        Surname161     5.86667        
Name163        Surname163     7.2            
Name166        Surname166     6.06667        
Name167        Surname167     6.93333        
Name168        Surname168     7.06667        
Name171        Surname171     8.46667        
Name172        Surname172     6              
Name174        Surname174     7.8            
Name179        Surname179     7.46667        
Name180        Surname180     7.2            
