Name           Surname        Final_Grade(Aver. )
Name1          Surname1       5.53           
Name9997       Surname9997    8.07           
Name3          Surname3       6.60           
Name9996       Surname9996    6.13           
Name5          Surname5       8.20           
Name6          Surname6       8.87           
Name9993       Surname9993    7.93           
Name9992       Surname9992    8.53           
Name9          Surname9       5.53           
Name10         Surname10      8.53           
Name9986       Surname9986    8.13           
Name9985       Surname9985    7.33           
Name9984       Surname9984    6.47           
Name14         Surname14      6.53           
Name15         Surname15      5.67           
Name9983       Surname9983    5.07           
Name17         Surname17      7.67           
Name18         Surname18      7.00           
Name9980       Surname9980    5.67           
Name9979       Surname9979    7.33           
Name21         Surname21      7.27           
Name22         Surname22      6.60           
Name23         Surname23      8.27           
Name24         Surname24      5.13           
Name9977       Surname9977    6.40           
Name9974       Surname9974    5.27           
Name27         Surname27      7.40           
Name9973       Surname9973    8.67           
Name29         Surname29      5.20           
Name30         Surname30      6.47           
Name31         Surname31      7.27           
Name32         Surname32      5.40           
Name33         Surname33      7.93           
Name9972       Surname9972    7.13           
Name35         Surname35      6.53           
Name36         Surname36      5.27           
Name37         Surname37      6.87           
Name9970       Surname9970    6.67           
Name39         Surname39      7.07           
Name9969       Surname9969    6.67           
Name9968       Surname9968    7.13           
Name9967       Surname9967    5.80           
Name43         Surname43      5.13           
Name9958       Surname9958    7.00           
Name9955       Surname9955    7.73           
Name46         Surname46      6.33           
Name47         Surname47      5.87           
Name48         Surname48      6.93           
Name49         Surname49      6.13           
Name9954       Surname9954    7.20           
Name9950       Surname9950    5.53           
Name52         Surname52      5.67           
Name9948       Surname9948    5.67           
Name9943       Surname9943    5.47           
Name55         Surname55      7.80           
Name9942       Surname9942    5.80           
Name57         Surname57      5.33           
Name9941       Surname9941    5.00           
Name9940       Surname9940    8.40           
Name60         Surname60      8.60           
Name9937       Surname9937    7.13           
Name9936       Surname9936    6.60           
Name63         Surname63      9.07           
Name9931       Surname9931    7.20           
Name65         Surname65      5.13           
Name66         Surname66      7.00           
Name67         Surname67      5.87           
Name68         Surname68      8.20           
Name69         Surname69      6.27           
Name70         Surname70      5.40           
Name71         Surname71      7.13           
Name72         Surname72      5.33           
Name9930       Surname9930    6.93           
Name9928       Surname9928    8.13           
Name9925       Surname9925    5.93           
Name76         Surname76      5.07           
Name77         Surname77      7.73           
Name78         Surname78      6.27           
Name9923       Surname9923    6.67           
Name80         Surname80      6.80           
Name81         Surname81      6.33           
Name82         Surname82      7.07           
Name83         Surname83      7.67           
Name84         Surname84      6.67           
Name9921       Surname9921    6.67           
Name9918       Surname9918    7.13           
Name9917       Surname9917    7.40           
Name88         Surname88      7.27           
Name9915       Surname9915    7.93           
Name90         Surname90      5.80           
Name91         Surname91      8.13           
Name92         Surname92      8.27           
Name9913       Surname9913    8.20           
Name94         Surname94      7.53           
Name9910       Surname9910    6.60           
Name96         Surname96      7.67           
Name9909       Surname9909    7.67           
Name98         Surname98      5.73           
Name99         Surname99      5.67           
Name100        Surname100     6.40           
Name101        Surname101     6.33           
Name9908       Surname9908    7.53           
Name103        Surname103     7.60           
Name104        Surname104     6.33           
Name105        Surname105     6.87           
Name9906       Surname9906    7.87           
Name9904       Surname9904    5.07           
Name108        Surname108     5.60           
Name109        Surname109     8.00           
Name110        Surname110     7.00           
Name111        Surname111     5.13           
Name9903       Surname9903    6.33           
Name113        Surname113     5.47           
Name114        Surname114     8.20           
Name115        Surname115     7.40           
Name116        Surname116     7.93           
Name117        Surname117     7.27           
Name118        Surname118     5.40           
Name119        Surname119     8.20           
Name120        Surname120     5.53           
Name9902       Surname9902    7.60           
Name122        Surname122     7.60           
Name123        Surname123     5.67           
Name9901       Surname9901    5.07           
Name125        Surname125     7.20           
Name126        Surname126     5.40           
Name9899       Surname9899    5.13           
Name128        Surname128     7.53           
Name129        Surname129     6.67           
Name130        Surname130     7.07           
