Name           Surname        Final_Grade(Aver. )
Name34855      Surname34855   9.60           
Name72376      Surname72376   9.60           
Name6491       Surname6491    9.53           
Name80415      Surname80415   9.53           
Name12204      Surname12204   9.47           
Name28547      Surname28547   9.47           
Name52503      Surname52503   9.47           
Name61627      Surname61627   9.47           
Name1605       Surname1605    9.40           
Name19031      Surname19031   9.40           
Name39574      Surname39574   9.40           
Name46698      Surname46698   9.40           
Name55209      Surname55209   9.40           
Name71791      Surname71791   9.40           
Name89545      Surname89545   9.40           
Name95748      Surname95748   9.40           
Name12823      Surname12823   9.33           
Name32320      Surname32320   9.33           
Name33622      Surname33622   9.33           
Name43804      Surname43804   9.33           
Name59998      Surname59998   9.33           
Name77139      Surname77139   9.33           
Name78106      Surname78106   9.33           
Name84440      Surname84440   9.33           
Name91848      Surname91848   9.33           
Name486        Surname486     9.27           
Name9163       Surname9163    9.27           
Name11718      Surname11718   9.27           
Name16501      Surname16501   9.27           
Name17515      Surname17515   9.27           
Name22837      Surname22837   9.27           
Name24201      Surname24201   9.27           
Name24214      Surname24214   9.27           
Name35978      Surname35978   9.27           
Name40524      Surname40524   9.27           
Name42833      Surname42833   9.27           
Name42992      Surname42992   9.27           
Name49734      Surname49734   9.27           
Name49750      Surname49750   9.27           
Name51069      Surname51069   9.27           
Name60199      Surname60199   9.27           
Name61389      Surname61389   9.27           
Name66943      Surname66943   9.27           
Name72293      Surname72293   9.27           
Name77214      Surname77214   9.27           
Name78798      Surname78798   9.27           
Name92754      Surname92754   9.27           
Name328        Surname328     9.20           
Name2061       Surname2061    9.20           
Name4046       Surname4046    9.20           
Name9993       Surname9993    9.20           
Name11580      Surname11580   9.20           
Name12431      Surname12431   9.20           
Name16923      Surname16923   9.20           
Name19868      Surname19868   9.20           
Name20118      Surname20118   9.20           
Name26044      Surname26044   9.20           
Name28961      Surname28961   9.20           
Name39681      Surname39681   9.20           
Name44581      Surname44581   9.20           
Name44766      Surname44766   9.20           
Name46255      Surname46255   9.20           
Name47542      Surname47542   9.20           
Name51014      Surname51014   9.20           
Name52141      Surname52141   9.20           
Name52382      Surname52382   9.20           
Name52394      Surname52394   9.20           
Name53918      Surname53918   9.20           
Name58014      Surname58014   9.20           
Name60000      Surname60000   9.20           
Name65977      Surname65977   9.20           
Name66922      Surname66922   9.20           
Name66976      Surname66976   9.20           
Name75841      Surname75841   9.20           
Name79738      Surname79738   9.20           
Name81604      Surname81604   9.20           
Name82309      Surname82309   9.20           
Name84290      Surname84290   9.20           
Name86482      Surname86482   9.20           
Name86934      Surname86934   9.20           
Name95827      Surname95827   9.20           
Name7735       Surname7735    9.13           
Name8276       Surname8276    9.13           
Name10767      Surname10767   9.13           
Name14100      Surname14100   9.13           
Name14131      Surname14131   9.13           
Name16348      Surname16348   9.13           
Name20430      Surname20430   9.13           
Name25013      Surname25013   9.13           
Name25925      Surname25925   9.13           
Name30748      Surname30748   9.13           
Name36399      Surname36399   9.13           
Name36447      Surname36447   9.13           
Name40174      Surname40174   9.13           
Name45049      Surname45049   9.13           
Name49112      Surname49112   9.13           
Name53878      Surname53878   9.13           
Name54283      Surname54283   9.13           
Name55221      Surname55221   9.13           
Name55361      Surname55361   9.13           
Name61065      Surname61065   9.13           
Name62839      Surname62839   9.13           
Name63776      Surname63776   9.13           
Name66008      Surname66008   9.13           
Name66405      Surname66405   9.13           
Name66657      Surname66657   9.13           
Name67215      Surname67215   9.13           
Name67730      Surname67730   9.13           
